#"Step";"Potential Energy (kJ/mole)";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
100;-317725.0686821842;222.20636984466694;1.364753397508647;212.8922286722436;0
200;-318045.3518853092;299.38893799833227;1.8387954881552466;212.32659369561816;634
300;-318382.67842339515;379.386836950159;2.3301288575108563;211.81791474480173;659
400;-319005.1252007389;434.3158022009143;2.6674931373917907;209.78131523419165;646
500;-319410.2797417545;413.55838170688025;2.5400046222670816;208.37253198735408;648
600;-319847.089312067;422.92834090104316;2.597553303943896;206.80008043594646;645
700;-320300.1542534733;438.59488541398554;2.6937745322831415;204.836881061308;639
800;-320787.9513726139;463.6461113021387;2.847634863409172;202.23221242815237;643
900;-321236.15596245765;532.7840235602403;3.2722680578439594;199.55398759972297;647
1000;-321471.61287163734;548.7742583087027;3.370477336071132;199.55398759972297;655
1100;-321653.0351128483;735.2819138647806;4.51597535558994;197.04819180484859;663
1200;-321858.009233942;956.0307255461466;5.871776680946821;195.04951879341147;664
1300;-321932.9835991764;1023.6711377152842;6.2872124867756405;195.04951879341147;669
1400;-322023.81123589515;1085.1690856353703;6.664922331108267;194.41672579038882;670
1500;-322117.66670464515;1120.5423913713385;6.882179105601374;194.28316133581103;673
1600;-322250.5609917545;1187.8704386175796;7.295696419669207;194.28316133581103;673
1700;-322337.9608940983;1179.8893014574078;7.246677644631655;194.28316133581103;673
1800;-322437.7314019108;1184.4035918129339;7.274403641435218;193.94009091138844;674
1900;-322496.8524956608;1168.1177163266075;7.174378588522001;193.94009091138844;675
2000;-322563.0937065983;1154.5845942866215;7.091260474959905;193.94009091138844;675
2100;-322455.89241265296;1325.2039655826375;8.139175378658674;193.94009091138844;675
2200;-322337.61397027015;1432.1707850803923;8.796147230691108;193.7863493735344;675
2300;-322270.48396538734;1542.8738139514426;9.476066239637062;193.6642901150511;677
2400;-322223.8408989811;1641.9969999829227;10.084863840727033;193.46717649500826;677
2500;-322189.208452692;1726.9587580065927;10.60668438080501;193.46717649500826;680
2600;-322172.62568902015;1787.1900664396526;10.976614742737805;193.46717649500826;681
