#"Step";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
10;9.539056968530343;0.06087037598110523;250.04699999999997;0
20;22.22521996778919;0.14182298105202812;250.04699999999997;14.5
30;37.45873281794259;0.23903066706972648;250.04699999999997;14.3
40;58.559020919426914;0.3736752628913272;250.04699999999997;13.9
50;70.41980803983097;0.44936100141167046;250.04699999999997;13.4
60;88.65840238932346;0.5657446333663827;250.04699999999997;13.6
70;103.28992857467074;0.6591109381298075;250.04699999999997;13.7
80;120.50419217978605;0.76895813805094;250.04699999999997;13.8
90;141.82849409145481;0.9050322048250544;250.04699999999997;13.5
100;154.00579378658892;0.9827376649478711;250.04699999999997;13.1
110;169.25794414983673;1.0800642801671825;250.04699999999997;12.9
120;175.45024621537883;1.1195784329981824;250.04699999999997;12.8
130;189.67618017418218;1.2103565834601715;250.04699999999997;12.8
140;201.94973328586835;1.2886762533182188;250.04699999999997;12.7
150;215.80135327164925;1.3770658414361494;250.04699999999997;12.9
160;228.67645981673417;1.4592241280237652;250.04699999999997;12.9
170;236.82807215215263;1.5112409793064536;250.04699999999997;13
180;249.5336022924032;1.5923171694610736;250.04699999999997;13.1
190;261.5371168977811;1.6689136768028903;250.04699999999997;13.1
200;272.4843755633989;1.738770031905593;250.04699999999997;13.2
210;280.0523296863416;1.7870624589653141;250.04699999999997;13.3
220;288.5324948293095;1.841175862663106;250.04699999999997;13.3
230;293.6055625452712;1.873547987105484;250.04699999999997;13.3
240;292.6305857933091;1.8673264914523435;250.04699999999997;13.3
250;297.5164375293267;1.8985039582753716;250.04699999999997;13.3
260;304.77949179321;1.9448507664842192;250.04699999999997;13.4
270;312.626972461272;1.9949269008804456;250.04699999999997;13.4
280;319.45047739418385;2.0384688686185064;250.04699999999997;13.4
290;331.20266839238946;2.1134616364594505;250.04699999999997;13.5
300;341.28959648167506;2.177828073028052;250.04699999999997;13.5
310;355.3957358027573;2.2678417931419825;250.04699999999997;13.5
320;371.821195253636;2.372655497026532;250.04699999999997;13.6
330;387.82802450017465;2.4747978490133735;250.04699999999997;13.6
340;388.40890550641757;2.4785045514019783;250.04699999999997;13.6
350;396.17317950908125;2.5280497296435622;250.04699999999997;13.6
360;399.4153096763903;2.5487383242200328;250.04699999999997;13.6
370;398.4287559133976;2.5424429536527904;250.04699999999997;13.7
380;397.012566448008;2.533406003197086;250.04699999999997;13.6
390;399.1928914822256;2.5473190351699198;250.04699999999997;13.7
400;400.9988237374158;2.5588430019239174;250.04699999999997;13.7
410;404.7610472058929;2.582850402006194;250.04699999999997;13.7
420;408.7247342090049;2.6081433758239214;250.04699999999997;13.7
430;406.82200146856445;2.5960017083945033;250.04699999999997;13.7
440;412.5829535426255;2.632763342161248;250.04699999999997;13.7
450;421.7368808247219;2.6911761388562603;250.04699999999997;13.6
460;423.46200809614425;2.7021844750023973;250.04699999999997;13.6
470;428.39138946915597;2.7336397119843516;250.04699999999997;13.7
480;440.34143289562064;2.809895010465026;250.04699999999997;13.7
490;445.34397651297223;2.841817108409786;250.04699999999997;13.6
500;448.77904820399743;2.863736896292861;250.04699999999997;13.6
510;449.6188930716419;2.8690960919689084;250.04699999999997;13.6
520;450.21998972113397;2.8729317938811914;250.04699999999997;13.6
530;461.72092634717046;2.9463212640218193;250.04699999999997;13.6
540;469.61611181296666;2.996701811001361;250.04699999999997;13.6
550;485.8378044011518;3.1002152432148673;250.04699999999997;13.6
560;486.6255905745247;3.1052422433391067;250.04699999999997;13.6
570;493.19860968213965;3.1471858176076593;250.04699999999997;13.6
580;494.67739184212877;3.156622182897189;250.04699999999997;13.7
590;489.5656888928519;3.1240035203341385;250.04699999999997;13.7
600;484.45303789156554;3.0913788080868834;250.04699999999997;13.7
610;479.86459103030654;3.0620991333207535;250.04699999999997;13.7
620;474.6446276635528;3.028789642268322;250.04699999999997;13.7
630;474.0574949591948;3.0250430467103984;250.04699999999997;13.6
640;474.9782011262481;3.030918232354173;250.04699999999997;13.6
650;477.40534409854575;3.046406252372405;250.04699999999997;13.6
660;483.4909328597234;3.085239449110965;250.04699999999997;13.6
670;487.7844485316992;3.112637116835996;250.04699999999997;13.6
680;487.1150373789721;3.1083654882371867;250.04699999999997;13.7
690;489.97957558938003;3.1266446030862762;250.04699999999997;13.7
700;494.19078555765293;3.153517063849412;250.04699999999997;13.6
710;499.9344361797426;3.190168294052157;250.04699999999997;13.7
720;505.1940786992982;3.2237309846564557;250.04699999999997;13.7
730;509.23637392719525;3.249525571182196;250.04699999999997;13.7
740;513.3934960673338;3.2760528881386217;250.04699999999997;13.7
750;520.3060848931137;3.320163315638547;250.04699999999997;13.7
760;520.7510698051655;3.3230028414943904;250.04699999999997;13.7
770;522.3334942081788;3.3331005659016215;250.04699999999997;13.7
780;532.7325979608012;3.3994590494893524;250.04699999999997;13.7
790;531.0509630516262;3.3887282456455208;250.04699999999997;13.7
800;526.0869752821093;3.3570521792489223;250.04699999999997;13.7
810;530.7113284330391;3.3865609782733057;250.04699999999997;13.7
820;525.0556169819007;3.3504709031634516;250.04699999999997;13.7
830;519.9316176287516;3.317773775115879;250.04699999999997;13.7
840;524.0538371608565;3.344078372480553;250.04699999999997;13.7
850;522.1780216546273;3.332108468588371;250.04699999999997;13.7
860;523.0402760603063;3.3376106634110037;250.04699999999997;13.7
870;525.9777130921951;3.3563549582759755;250.04699999999997;13.7
880;524.9499005930339;3.3497963085616043;250.04699999999997;13.7
890;523.3248694226048;3.3394267029861937;250.04699999999997;13.7
900;526.091471911782;3.3570808730222934;250.04699999999997;13.7
910;539.1403309902596;3.44034790464311;250.04699999999997;13.7
920;543.1884427050871;3.466179607180162;250.04699999999997;13.7
930;534.5231243294218;3.4108847086107494;250.04699999999997;13.7
940;536.2317532354193;3.4217877658273457;250.04699999999997;13.7
950;525.6955075529992;3.3545541558139;250.04699999999997;13.7
960;529.0007403119959;3.3756454189659;250.04699999999997;13.7
970;519.0396534785785;3.3120819972638524;250.04699999999997;13.7
980;520.7561646224767;3.323035352406771;250.04699999999997;13.7
990;515.2947474468438;3.2881851027471694;250.04699999999997;13.7
