#"Step";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
200;56331.07601949825;359.45836030113986;180946.93768648102;0
400;54846.627517205365;349.9858370991867;180946.93768648102;0.1
600;53103.97384526749;338.86566195339816;180946.93768648102;0.101
800;52128.53792562479;332.6412362716975;180946.93768648102;0.101
1000;50610.85643514844;322.9566476116622;180946.93768648102;0.101
1200;50591.54894474802;322.833443168728;180946.93768648102;0.101
1400;49999.05837447731;319.0526581397028;180946.93768648102;0.101
1600;49632.41619025019;316.71305080974713;180946.93768648102;0.101
1800;49618.13759834478;316.62193663980037;180946.93768648102;0.101
2000;49067.504511674495;313.1082514690512;180946.93768648102;0.101
2200;48855.76154153028;311.75708287381633;180946.93768648102;0.1
