#"Step";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
50;70.41982462581342;0.44936110724969935;250.04699999999997;0
100;154.00583235773212;0.9827379110770216;250.04699999999997;11.1
150;215.800647002166;1.3770613346081548;250.04699999999997;11.2
200;272.48422722480075;1.7387690853312856;250.04699999999997;11.2
250;297.51630844455553;1.8985031345630716;250.04699999999997;11.2
300;341.28930328332683;2.1778262020785704;250.04699999999997;11.3
350;396.1733830662757;2.5280510285773037;250.04699999999997;11.2
400;400.99977590870895;2.558849077893985;250.04699999999997;11.2
450;421.7376797697506;2.691181237062975;250.04699999999997;11.2
500;448.77852557062215;2.863733561278702;250.04699999999997;11.3
550;485.84705083415565;3.1002742463066078;250.04699999999997;11.3
600;484.4522178344345;3.0913735751601847;250.04699999999997;11.3
650;477.4074588803046;3.046419747161377;250.04699999999997;11.3
700;494.18894379098646;3.1535053112170686;250.04699999999997;11.1
750;520.3101042490706;3.3201889638456077;250.04699999999997;11.1
800;526.0913017304115;3.357079787065469;250.04699999999997;11.1
850;522.1848823628123;3.33215224795651;250.04699999999997;11.1
900;526.1090459811097;3.3571930162048975;250.04699999999997;11.1
950;525.6848905337093;3.3544864067734967;250.04699999999997;11.2
1000;508.74468428724884;3.2463880143620307;250.04699999999997;11.1
1050;531.3646964273723;3.3907302326975417;250.04699999999997;11
1100;512.1033304315495;3.2678201175841344;250.04699999999997;10.9
1150;482.3953389454101;3.078248274437528;250.04699999999997;10.9
1200;457.563304759844;2.9197907600063147;250.04699999999997;10.9
1250;445.45635855406243;2.8425342376938705;250.04699999999997;10.9
1300;457.71621235955644;2.9207664899045183;250.04699999999997;10.9
1350;461.43544317673786;2.94449954642669;250.04699999999997;10.9
1400;422.51852761875085;2.696163962536728;250.04699999999997;10.9
1450;400.09291829003445;2.5530622622378716;250.04699999999997;10.9
1500;406.0583568291028;2.591128759582756;250.04699999999997;10.9
1550;386.48886185022474;2.4662524200185336;250.04699999999997;10.9
1600;371.52195000185384;2.3707459612048427;250.04699999999997;10.9
1650;336.52693297696084;2.147436691661964;250.04699999999997;10.8
1700;320.83657900470865;2.0473138232570003;250.04699999999997;10.8
1750;319.26780071997456;2.0373031770958767;250.04699999999997;10.8
1800;301.6144860458631;1.9246543161999885;250.04699999999997;10.9
1850;287.8144102705045;1.8365936406232455;250.04699999999997;10.9
1900;274.73078544326484;1.7531047627334115;250.04699999999997;10.9
1950;256.67057189644225;1.6378594096004053;250.04699999999997;10.9
2000;247.46512949403302;1.5791178859932362;250.04699999999997;10.8
2050;229.49432661298746;1.464443077816668;250.04699999999997;10.9
2100;222.45014005210894;1.4194929023584135;250.04699999999997;10.9
2150;223.6221962032957;1.426971995819022;250.04699999999997;10.9
2200;221.8810125542336;1.415861201144012;250.04699999999997;10.9
2250;211.2936343041014;1.348301305352865;250.04699999999997;10.9
2300;198.53540987384523;1.2668888637998859;250.04699999999997;10.9
2350;194.6737653223625;1.2422470405536667;250.04699999999997;10.9
2400;187.3135061025302;1.1952799506717606;250.04699999999997;10.9
2450;183.16032056279883;1.1687777538448885;250.04699999999997;10.9
2500;171.44368258994325;1.094011856021333;250.04699999999997;10.9
2550;167.67606523846305;1.0699700366366576;250.04699999999997;10.9
2600;153.21583606501503;0.9776968077981534;250.04699999999997;10.9
2650;142.42072096656048;0.9088113071695235;250.04699999999997;10.9
2700;139.69780785698333;0.8914359266376074;250.04699999999997;10.9
2750;138.27196740849095;0.8823373915858589;250.04699999999997;10.9
2800;128.99176811595123;0.8231188313046836;250.04699999999997;10.9
2850;115.51371513283185;0.7371130389834607;250.04699999999997;10.9
2900;110.68052068699855;0.7062715874565192;250.04699999999997;10.9
2950;100.91264024610815;0.6439410492348686;250.04699999999997;10.9
3000;95.10118775666375;0.6068571635640075;250.04699999999997;10.9
3050;90.90493879791754;0.5800801715959476;250.04699999999997;10.9
3100;88.42803267969244;0.5642746043177923;250.04699999999997;10.9
3150;88.3695239037475;0.5639012496767926;250.04699999999997;10.9
3200;83.12174924748386;0.5304142899652922;250.04699999999997;10.9
3250;75.75555268716117;0.48340931288456;250.04699999999997;10.9
3300;66.41297991794147;0.4237927366371016;250.04699999999997;10.9
3350;60.55344956324112;0.38640205777440256;250.04699999999997;10.9
3400;60.47762993565432;0.38591823958847693;250.04699999999997;10.9
3450;52.199294242676764;0.33309274459544486;250.04699999999997;11
3500;49.59874597440004;0.3164981953261365;250.04699999999997;11
3550;44.98780282411306;0.28707496784029496;250.04699999999997;10.9
3600;42.65051760122138;0.2721603456966327;250.04699999999997;10.9
3650;37.79003820736691;0.241144784186896;250.04699999999997;10.9
3700;34.20189313458933;0.21824820852168408;250.04699999999997;10.9
3750;37.08464449285269;0.23664354462423884;250.04699999999997;10.9
3800;33.40464575984357;0.21316083483151518;250.04699999999997;10.9
3850;32.87224128973673;0.20976346962273845;250.04699999999997;10.9
3900;39.069586284335855;0.24930980225817392;250.04699999999997;10.9
3950;40.6225159613874;0.25921931570653606;250.04699999999997;10.9
4000;37.93287994503708;0.2420562820746287;250.04699999999997;10.9
4050;38.8213368930443;0.2477256798617096;250.04699999999997;10.9
4100;36.79106991056903;0.2347701943275527;250.04699999999997;10.9
4150;31.791615076019273;0.20286780644124958;250.04699999999997;10.9
4200;28.869292249419562;0.18421995794006837;250.04699999999997;10.9
4250;26.76674807834562;0.17080325913720235;250.04699999999997;10.9
4300;26.476075331988476;0.1689484259585568;250.04699999999997;10.9
4350;25.456830576587816;0.16244444850222273;250.04699999999997;10.9
4400;22.291480764058242;0.14224580267842268;250.04699999999997;10.9
4450;19.793280269423665;0.12630435229331002;250.04699999999997;10.9
4500;18.47012740774988;0.11786108453253814;250.04699999999997;10.9
4550;16.576517932345244;0.1057776342387066;250.04699999999997;10.9
4600;14.77074432066627;0.09425467981645283;250.04699999999997;10.9
4650;13.911889816295398;0.08877418035339373;250.04699999999997;10.9
4700;12.39228564193094;0.07907732271419748;250.04699999999997;10.8
4750;11.04902351975687;0.07050573427650832;250.04699999999997;10.8
4800;10.369009391225553;0.06616644625121182;250.04699999999997;10.8
4850;9.320852629084403;0.05947797626836618;250.04699999999997;10.8
4900;8.463704738775771;0.05400836700545641;250.04699999999997;10.8
4950;8.170496514659334;0.05213735450373849;250.04699999999997;10.8
5000;7.876441880239445;0.05026094091116061;250.04699999999997;10.8
5050;103.41469381759788;0.6599070867712722;250.04699999999997;10.8
5100;181.18409159975275;1.15616709427946;250.04699999999997;10.8
5150;252.57046068041313;1.6116958892327846;250.04699999999997;10.8
5200;312.5510896424325;1.9944426794601833;250.04699999999997;10.8
5250;378.26717176745603;2.4137883904829853;250.04699999999997;10.8
5300;424.7537746828469;2.7104274615021975;250.04699999999997;10.8
5350;476.8404018808105;3.042801258156038;250.04699999999997;10.8
5400;521.7931715156082;3.329652673142788;250.04699999999997;10.8
5450;562.3420199957334;3.588401903882141;250.04699999999997;10.8
5500;603.8040023631314;3.852978000235438;250.04699999999997;10.7
5550;633.5234136063466;4.042622714831404;250.04699999999997;10.7
5600;667.1481186769358;4.257187786269055;250.04699999999997;10.7
5650;688.5795060612954;4.39394518400621;250.04699999999997;10.7
5700;717.0990577497987;4.575933386804334;250.04699999999997;10.7
5750;740.2853348170463;4.723889039794095;250.04699999999997;10.7
5800;749.0010130232724;4.779505293171503;250.04699999999997;10.7
5850;762.9487908660882;4.868508481242821;250.04699999999997;10.7
5900;790.0278038892558;5.041304357119785;250.04699999999997;10.7
5950;799.6389062597697;5.102634467299031;250.04699999999997;10.7
6000;812.5087134079315;5.184758937516302;250.04699999999997;10.7
6050;817.1753679516964;5.214537669060735;250.04699999999997;10.7
6100;834.4891143896887;5.325019686182442;250.04699999999997;10.7
6150;861.750481449074;5.498979194773086;250.04699999999997;10.7
6200;867.4397088269335;5.535283140820875;250.04699999999997;10.7
6250;872.1904422480965;5.565598394255906;250.04699999999997;10.7
6300;878.2480250350478;5.604252880018476;250.04699999999997;10.7
6350;883.2899697486672;5.63642640318816;250.04699999999997;10.8
6400;893.3896384355736;5.7008741397185885;250.04699999999997;10.8
6450;900.3016583385048;5.744980936823201;250.04699999999997;10.8
6500;904.2822919084252;5.770382049621188;250.04699999999997;10.8
6550;908.3962641415493;5.796634019541509;250.04699999999997;10.7
6600;917.0788008635911;5.852038791363714;250.04699999999997;10.7
6650;917.5070448085554;5.854771490206756;250.04699999999997;10.7
6700;917.3097740416695;5.85351267124907;250.04699999999997;10.7
6750;920.271817840819;5.872413986161178;250.04699999999997;10.7
6800;920.7265480908555;5.875315698707924;250.04699999999997;10.6
6850;925.039152252736;5.902835173395765;250.04699999999997;10.6
6900;924.0175340937391;5.896316050839686;250.04699999999997;10.6
6950;938.9131325815146;5.991367446738223;250.04699999999997;10.6
7000;947.2497009976437;6.0445645348315304;250.04699999999997;10.6
7050;940.8313852372219;6.003608149437124;250.04699999999997;10.6
7100;931.0537103961121;5.9412151114499485;250.04699999999997;10.5
7150;943.7667937692714;6.0223395000930084;250.04699999999997;10.5
7200;933.0924994458035;5.954224977772195;250.04699999999997;10.5
7250;947.1732324259023;6.044076575620468;250.04699999999997;10.5
7300;947.5076214351334;6.046210369850129;250.04699999999997;10.5
7350;952.8603142596302;6.080366830579252;250.04699999999997;10.5
7400;946.8978223827007;6.04231913639624;250.04699999999997;10.5
7450;947.7832637350729;6.047969291144861;250.04699999999997;10.5
7500;958.8280597662671;6.118448049084074;250.04699999999997;10.5
7550;951.0397311776929;6.068749374360261;250.04699999999997;10.4
7600;963.1462858844043;6.1460033984492775;250.04699999999997;10.4
7650;946.7680675741799;6.041491148471849;250.04699999999997;10.4
7700;956.5991328366306;6.104224879992099;250.04699999999997;10.4
7750;946.6857640225724;6.040965955242847;250.04699999999997;10.4
7800;962.7952977126687;6.14376368208644;250.04699999999997;10.4
7850;959.4787970215546;6.122600516306456;250.04699999999997;10.4
7900;967.3725026928914;6.172971620461051;250.04699999999997;10.4
7950;955.3522066063927;6.096268027579362;250.04699999999997;10.4
8000;949.2320847615456;6.05721446924807;250.04699999999997;10.4
8050;966.2270718754678;6.1656624278703225;250.04699999999997;10.3
8100;966.7992247264013;6.169313434386992;250.04699999999997;10.3
8150;959.273270464604;6.121289015721341;250.04699999999997;10.3
8200;953.7560691647569;6.086082797895714;250.04699999999997;10.3
8250;961.3594796974629;6.134601478452018;250.04699999999997;10.3
8300;957.1850086625004;6.107963455190527;250.04699999999997;10.3
8350;958.9377478748563;6.119147987917914;250.04699999999997;10.3
8400;959.5871345038719;6.123291836559942;250.04699999999997;10.3
8450;945.095324868318;6.0308170873187;250.04699999999997;10.3
8500;957.0889485578863;6.107350479012281;250.04699999999997;10.3
8550;953.8738745671002;6.08683453458802;250.04699999999997;10.3
8600;959.0061945371217;6.11958475793412;250.04699999999997;10.3
8650;955.9131346100991;6.099847406400202;250.04699999999997;10.2
8700;955.2385837373357;6.095542980356941;250.04699999999997;10.2
8750;950.758999090879;6.0669579742532385;250.04699999999997;10.2
8800;947.7097532236805;6.047500207829626;250.04699999999997;10.2
8850;951.6425393380252;6.072595997719883;250.04699999999997;10.2
8900;938.0781161675511;5.98603906226206;250.04699999999997;10.2
8950;948.8001014824139;6.054457909065544;250.04699999999997;10.2
9000;953.0799024371089;6.081768060802348;250.04699999999997;10.2
9050;945.8815273184596;6.035833981430483;250.04699999999997;10.2
9100;938.2254383607449;5.986979150713115;250.04699999999997;10.2
9150;949.4446409149385;6.0585708269065695;250.04699999999997;10.2
9200;941.636048534701;6.008742845415703;250.04699999999997;10.2
